"","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",49,48,303,3843,129,-31,160,83,-1,99,-3,2221,360,68,52,986,224,921,312
"2",88,51,303,3973,170,2,168,129,34,139,33,2382,341,73,46,996,245,865,330
"3",41,55,363,3252,112,-39,151,82,12,82,-3,3300,594,69,70,1656,215,1656,335
"4",41,55,363,3252,112,-39,151,82,12,82,-3,3300,594,69,70,1656,215,1656,335
"5",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"6",67,52,314,3836,148,-16,164,107,16,117,15,2548,363,84,44,1047,282,886,377
"7",43,55,362,3254,114,-37,151,84,14,84,-2,3336,599,69,70,1673,215,1673,337
"8",50,47,297,3861,130,-30,160,90,0,100,-3,2648,334,109,36,996,345,900,454
"9",30,48,308,3730,109,-48,156,64,-18,79,-20,2585,365,93,42,1026,303,956,415
"10",66,48,294,3953,148,-16,164,108,14,118,12,2732,354,103,40,1034,329,967,439
"11",65,52,352,3197,133,-14,147,105,36,105,20,3022,567,59,73,1591,193,1591,209
"12",41,55,363,3252,112,-39,151,82,12,82,-3,3300,594,69,70,1656,215,1656,335
"13",59,52,318,3784,139,-24,163,93,8,108,7,2561,372,77,49,1034,259,993,349
"14",57,52,319,3769,138,-25,163,96,7,106,6,2654,379,80,48,1072,268,1020,362
"15",57,52,319,3769,138,-25,163,96,7,106,6,2654,379,80,48,1072,268,1020,362
"16",47,47,300,3763,126,-31,157,66,-2,96,-4,2743,387,133,35,1075,411,769,485
"17",47,47,300,3763,126,-31,157,66,-2,96,-4,2743,387,133,35,1075,411,769,485
"18",47,47,300,3763,126,-31,157,66,-2,96,-4,2743,387,133,35,1075,411,769,485
"19",41,47,304,3718,119,-37,156,80,-7,89,-10,2711,366,122,37,1038,378,852,450
"20",64,52,317,3807,145,-19,164,99,13,113,12,2501,389,68,54,1066,228,1037,312
"21",57,52,319,3769,138,-25,163,96,7,106,6,2654,379,80,48,1072,268,1020,362
"22",44,55,361,3272,115,-37,152,85,15,85,-1,3205,575,69,69,1597,214,1597,332
"23",41,55,363,3252,112,-39,151,82,12,82,-3,3300,594,69,70,1656,215,1656,335
"24",44,55,361,3272,115,-37,152,85,15,85,-1,3205,575,69,69,1597,214,1597,332
"25",44,55,361,3272,115,-37,152,85,15,85,-1,3205,575,69,69,1597,214,1597,332
"26",44,55,361,3272,115,-37,152,85,15,85,-1,3205,575,69,69,1597,214,1597,332
"27",44,55,361,3272,115,-37,152,85,15,85,-1,3205,575,69,69,1597,214,1597,332
"28",44,55,361,3272,115,-37,152,85,15,85,-1,3205,575,69,69,1597,214,1597,332
"29",47,47,300,3763,126,-31,157,66,-2,96,-4,2743,387,133,35,1075,411,769,485
"30",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"31",47,47,300,3763,126,-31,157,66,-2,96,-4,2743,387,133,35,1075,411,769,485
"32",64,51,315,3783,145,-18,163,104,14,113,13,2439,352,82,44,1009,274,846,356
"33",65,52,352,3197,133,-14,147,105,36,105,20,3022,567,59,73,1591,193,1591,209
"34",57,52,319,3769,138,-25,163,96,7,106,6,2654,379,80,48,1072,268,1020,362
"35",42,47,303,3727,121,-35,156,61,-6,91,-8,2829,397,135,36,1101,415,823,490
"36",68,52,313,3847,149,-16,165,108,16,117,15,2457,339,78,46,998,260,884,351
"37",65,51,313,3836,147,-17,164,105,14,115,13,2570,355,83,45,1045,277,927,371
"38",66,47,291,3962,148,-15,163,108,14,118,12,2753,350,112,37,1030,352,945,456
"39",46,48,303,3829,126,-34,160,81,-3,96,-6,2456,363,82,46,1014,266,959,368
"40",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",67,52,314,3831,148,-16,164,107,16,117,15,2617,365,84,45,1068,282,939,377
"43",67,52,314,3831,148,-16,164,107,16,117,15,2617,365,84,45,1068,282,939,377
"44",30,48,308,3730,109,-48,156,64,-18,79,-20,2585,365,93,42,1026,303,956,415
"45",85,51,306,3944,167,-1,168,125,32,135,31,2463,368,85,42,1025,283,794,377
"46",86,51,303,3986,169,0,169,127,32,137,31,2153,303,80,40,861,268,697,352
"47",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"48",53,48,300,3874,133,-28,161,88,3,104,0,2332,358,76,49,989,248,946,342
"49",97,48,283,4099,181,12,168,139,42,150,41,2126,287,93,38,788,293,686,352
"50",111,49,291,4038,194,26,169,131,56,163,56,2498,384,104,42,1074,344,726,414
"51",71,51,311,3872,153,-12,165,112,20,121,18,2481,350,78,47,998,260,914,349
