"","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",96,55,343,3561,170,9,161,140,63,140,46,3324,607,72,70,1679,219,1679,268
"2",72,51,313,3827,153,-12,164,111,20,121,19,2310,325,73,47,946,245,851,320
"3",91,51,340,3308,160,10,149,132,60,132,44,2854,562,51,78,1589,168,1589,177
"4",41,55,363,3252,112,-39,151,82,12,82,-3,3300,594,69,70,1656,215,1656,335
"5",72,51,311,3871,153,-12,165,112,20,121,19,2522,359,83,44,1036,277,876,373
"6",67,52,314,3831,148,-16,164,107,16,117,15,2617,365,84,45,1068,282,939,377
"7",63,52,316,3803,144,-19,164,103,13,113,12,2667,369,83,47,1083,279,989,374
"8",63,52,316,3803,144,-19,164,103,13,113,12,2667,369,83,47,1083,279,989,374
"9",67,52,314,3831,148,-16,164,107,16,117,15,2617,365,84,45,1068,282,939,377
"10",67,52,314,3831,148,-16,164,107,16,117,15,2617,365,84,45,1068,282,939,377
"11",68,47,288,3971,149,-13,163,110,16,120,14,2877,373,127,34,1082,397,923,503
"12",63,52,316,3803,144,-19,164,103,13,113,12,2667,369,83,47,1083,279,989,374
"13",43,55,362,3254,114,-37,151,84,14,84,-2,3336,599,69,70,1673,215,1673,337
"14",83,55,347,3485,156,-2,159,126,51,126,34,3125,606,61,77,1687,187,1687,227
"15",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"16",65,51,313,3836,147,-17,164,105,14,115,13,2570,355,83,45,1045,277,927,371
"17",57,47,296,3840,137,-22,159,77,7,107,5,2636,371,132,35,1039,408,708,482
"18",72,47,291,3940,154,-9,163,113,20,124,19,2308,298,109,36,845,341,707,404
"19",65,47,294,3888,146,-15,161,85,14,116,12,2443,322,116,35,906,360,733,426
"20",67,52,314,3831,148,-16,164,107,16,117,15,2617,365,84,45,1068,282,939,377
"21",63,52,316,3803,144,-19,164,103,13,113,12,2667,369,83,47,1083,279,989,374
"22",72,51,311,3871,153,-12,165,112,20,121,19,2522,359,83,44,1036,277,876,373
"23",65,47,294,3888,146,-15,161,85,14,116,12,2443,322,116,35,906,360,733,426
"24",42,47,303,3727,121,-35,156,61,-6,91,-8,2829,397,135,36,1101,415,823,490
"25",65,47,294,3888,146,-15,161,85,14,116,12,2443,322,116,35,906,360,733,426
"26",72,47,291,3940,154,-9,163,113,20,124,19,2308,298,109,36,845,341,707,404
"27",65,51,313,3836,147,-17,164,105,14,115,13,2570,355,83,45,1045,277,927,371
"28",85,55,345,3488,159,0,158,128,53,128,36,2787,441,73,59,1255,229,1255,265
"29",72,51,311,3871,153,-12,165,112,20,121,19,2522,359,83,44,1036,277,876,373
"30",72,51,311,3871,153,-12,165,112,20,121,19,2522,359,83,44,1036,277,876,373
"31",67,52,314,3831,148,-16,164,107,16,117,15,2617,365,84,45,1068,282,939,377
"32",44,55,361,3272,115,-37,152,85,15,85,-1,3205,575,69,69,1597,214,1597,332
"33",57,52,319,3769,138,-25,163,96,7,106,6,2654,379,80,48,1072,268,1020,362
"34",67,52,314,3831,148,-16,164,107,16,117,15,2617,365,84,45,1068,282,939,377
"35",91,48,286,4072,174,7,168,112,37,144,35,2634,354,129,33,990,403,766,491
"36",42,47,303,3727,121,-35,156,61,-6,91,-8,2829,397,135,36,1101,415,823,490
"37",63,52,316,3803,144,-19,164,103,13,113,12,2667,369,83,47,1083,279,989,374
"38",65,51,313,3836,147,-17,164,105,14,115,13,2570,355,83,45,1045,277,927,371
"39",83,47,285,4067,166,-1,167,119,29,136,27,2659,356,100,41,1008,314,968,409
"40",63,47,291,3941,144,-18,162,104,12,115,9,2801,358,114,37,1049,356,960,461
"41",66,47,291,3962,148,-15,163,108,14,118,12,2753,350,112,37,1030,352,945,456
"42",42,47,303,3727,121,-35,156,61,-6,91,-8,2829,397,135,36,1101,415,823,490
"43",78,52,316,3836,159,-7,166,113,26,127,25,2449,401,57,60,1103,193,1074,266
"44",83,52,315,3860,164,-2,167,118,31,132,30,2365,392,52,61,1084,176,1043,246
"45",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"46",55,51,317,3777,135,-27,162,94,5,104,4,2541,355,82,46,1016,274,933,366
"47",67,52,314,3831,148,-16,164,107,16,117,15,2617,365,84,45,1068,282,939,377
"48",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"49",51,47,299,3792,131,-27,158,91,2,101,0,2742,377,128,36,1048,396,818,470
"50",65,48,296,3867,146,-15,161,106,14,116,13,2351,316,92,41,925,288,814,348
"51",70,48,296,3900,151,-11,163,111,19,121,17,2431,335,103,38,952,325,782,393
"52",59,55,356,3353,131,-24,155,100,28,100,12,2989,567,63,74,1573,193,1573,231
"53",57,51,319,3728,137,-24,161,96,8,106,7,2571,356,79,48,1058,265,964,347
"54",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"55",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"56",84,51,308,3913,166,-1,167,125,31,134,31,2245,314,74,46,913,248,812,323
"57",86,51,303,3986,169,0,169,127,32,137,31,2153,303,80,40,861,268,697,352
"58",87,52,344,3325,157,5,151,128,57,128,41,2707,518,55,73,1448,177,1448,197
"59",41,55,363,3252,112,-39,151,82,12,82,-3,3300,594,69,70,1656,215,1656,335
"60",59,55,356,3353,131,-24,155,100,28,100,12,2989,567,63,74,1573,193,1573,231
"61",44,55,361,3272,115,-37,152,85,15,85,-1,3205,575,69,69,1597,214,1597,332
"62",96,55,343,3561,170,9,161,140,63,140,46,3324,607,72,70,1679,219,1679,268
"63",91,55,345,3536,165,5,161,135,59,135,42,3523,642,73,71,1797,220,1797,275
"64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"66",84,52,346,3315,154,3,151,125,54,125,38,2637,507,57,71,1400,182,1400,205
"67",66,51,313,3776,146,-16,162,105,16,115,15,2665,391,90,44,1110,300,911,385
"68",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"69",97,53,307,4013,180,9,171,133,42,148,41,2341,437,54,67,1140,184,1136,253
"70",68,52,313,3847,149,-16,165,108,16,117,15,2457,339,78,46,998,260,884,351
"71",51,47,299,3792,131,-27,158,91,2,101,0,2742,377,128,36,1048,396,818,470
"72",49,54,355,3304,121,-31,152,91,19,91,4,3017,510,71,63,1416,230,1416,325
"73",63,54,350,3366,135,-19,154,105,32,105,16,2960,503,70,63,1396,226,1396,248
"74",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"75",118,53,301,4144,203,27,176,155,80,170,60,2265,417,55,65,1088,189,1082,259
"76",71,51,311,3872,153,-12,165,112,20,121,18,2481,350,78,47,998,260,914,349
"77",99,55,341,3574,174,12,162,144,66,144,49,3289,638,62,78,1779,188,1779,230
"78",225,45,243,4734,310,126,184,266,221,284,157,1663,331,18,80,902,57,882,193
"79",99,53,309,3988,183,12,171,136,45,150,44,2454,405,70,55,1063,238,1038,320
"80",82,52,315,3870,163,-3,167,117,29,131,29,2290,364,67,53,978,229,939,297
"81",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"82",51,47,299,3792,131,-27,158,91,2,101,0,2742,377,128,36,1048,396,818,470
"83",141,56,315,4096,225,47,178,179,103,192,83,3542,652,67,71,1792,206,1738,247
"84",134,56,324,3901,213,41,172,170,98,182,79,3316,585,58,70,1642,186,1610,248
"85",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"86",102,53,341,3403,172,18,154,143,70,143,53,2782,472,73,60,1279,232,1279,265
"87",102,53,341,3403,172,18,154,143,70,143,53,2782,472,73,60,1279,232,1279,265
"88",102,53,341,3403,172,18,154,143,70,143,53,2782,472,73,60,1279,232,1279,265
"89",144,47,263,4450,232,54,178,166,83,201,82,2872,401,154,30,1103,478,743,584
"90",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"91",89,52,307,3933,171,3,168,129,35,139,35,2120,311,65,49,862,219,803,289
"92",100,53,310,3986,183,12,171,136,45,150,45,2446,440,61,63,1141,209,1141,282
"93",103,52,307,3966,185,16,170,143,48,153,48,2561,364,66,53,1088,222,1001,304
"94",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"95",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"96",107,55,336,3622,183,20,163,152,74,152,56,2476,388,65,58,1084,205,1084,237
"97",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"98",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"99",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"100",81,55,346,3471,155,-3,158,124,49,124,33,2801,425,75,56,1200,235,1200,273
"101",107,55,336,3620,182,20,163,144,73,152,56,2507,385,68,56,1087,214,1072,248
"102",67,52,314,3836,148,-16,164,107,16,117,15,2548,363,84,44,1047,282,886,377
"103",67,52,314,3836,148,-16,164,107,16,117,15,2548,363,84,44,1047,282,886,377
"104",67,52,314,3836,148,-16,164,107,16,117,15,2548,363,84,44,1047,282,886,377
"105",67,52,314,3836,148,-16,164,107,16,117,15,2548,363,84,44,1047,282,886,377
"106",147,53,295,4264,234,54,180,186,88,201,88,1964,315,50,57,863,170,845,170
"107",72,51,311,3871,153,-12,165,112,20,121,19,2522,359,83,44,1036,277,876,373
"108",60,47,296,3854,141,-19,160,101,10,111,8,2537,338,117,36,954,361,783,428
"109",44,55,361,3272,115,-37,152,85,15,85,-1,3205,575,69,69,1597,214,1597,332
"110",40,55,363,3247,111,-40,151,81,11,81,-5,3359,582,74,66,1625,231,1625,359
"111",40,55,363,3247,111,-40,151,81,11,81,-5,3359,582,74,66,1625,231,1625,359
"112",110,39,315,2895,165,41,125,145,68,145,68,2339,510,33,86,1425,111,1425,111
"113",88,49,293,4063,170,2,168,124,53,140,32,2184,429,48,71,1134,150,1086,263
"114",97,48,283,4099,181,12,168,139,42,150,41,2126,287,93,38,788,293,686,352
"115",125,55,330,3762,201,34,168,171,90,171,71,3325,706,43,89,1958,137,1958,183
"116",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"117",118,53,336,3499,189,32,157,154,85,161,68,2679,433,72,58,1207,228,1182,262
"118",118,53,336,3499,189,32,157,154,85,161,68,2679,433,72,58,1207,228,1182,262
"119",80,52,310,3915,163,-5,167,116,28,131,27,2349,382,62,56,1027,208,1019,285
"120",77,52,313,3844,158,-7,165,117,25,127,25,2246,330,62,52,922,208,913,277
"121",125,55,330,3762,201,34,168,171,90,171,71,3325,706,43,89,1958,137,1958,183
"122",43,48,303,3809,123,-36,159,77,-6,93,-8,2670,353,100,40,1011,322,950,437
"123",95,48,285,4134,179,10,170,138,40,149,38,2583,341,92,42,989,292,942,392
"124",55,47,291,3908,135,-25,160,96,4,106,1,2608,328,111,34,960,351,832,466
"125",55,47,291,3908,135,-25,160,96,4,106,1,2608,328,111,34,960,351,832,466
"126",55,47,291,3908,135,-25,160,96,4,106,1,2608,328,111,34,960,351,832,466
"127",55,47,291,3908,135,-25,160,96,4,106,1,2608,328,111,34,960,351,832,466
"128",109,53,306,4017,192,20,172,145,53,160,53,2076,336,48,59,939,162,880,225
"129",72,47,291,3940,154,-9,163,113,20,124,19,2308,298,109,36,845,341,707,404
"130",99,55,341,3574,174,12,162,144,66,144,49,3289,638,62,78,1779,188,1779,230
"131",129,41,312,3046,187,56,131,165,85,165,85,2641,509,49,76,1460,157,1460,157
"132",125,55,330,3762,201,34,168,171,90,171,71,3325,706,43,89,1958,137,1958,183
"133",128,56,331,3772,204,36,168,174,92,174,74,3453,668,58,78,1853,180,1853,233
"134",88,51,303,3973,170,2,168,129,34,139,33,2382,341,73,46,996,245,865,330
"135",128,41,314,3053,187,56,132,165,85,165,85,2547,512,44,79,1451,144,1451,144
"136",128,56,331,3772,204,36,168,174,92,174,74,3453,668,58,78,1853,180,1853,233
"137",78,52,316,3836,159,-7,166,113,26,127,25,2449,401,57,60,1103,193,1074,266
"138",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"139",122,51,287,4249,208,32,176,166,64,176,63,2255,309,92,36,872,306,700,409
"140",198,71,236,7626,337,38,299,264,118,297,87,1588,263,45,57,789,148,331,179
"141",125,55,330,3762,201,34,168,171,90,171,71,3325,706,43,89,1958,137,1958,183
"142",119,52,297,4188,204,28,176,157,82,172,61,2596,499,57,70,1318,177,1293,313
"143",119,52,297,4188,204,28,176,157,82,172,61,2596,499,57,70,1318,177,1293,313
"144",90,79,189,11445,272,-146,417,238,-82,238,-82,894,254,9,105,688,30,688,30
"145",162,81,243,8787,315,-18,333,275,36,277,36,1037,187,25,53,520,93,433,93
"146",162,81,243,8787,315,-18,333,275,36,277,36,1037,187,25,53,520,93,433,93
"147",132,90,274,8406,289,-39,328,205,10,241,10,593,99,7,63,272,25,252,25
"148",60,86,197,11925,251,-187,438,213,-100,213,-119,994,277,11,100,733,37,733,38
"149",183,69,237,7413,325,33,293,244,110,283,79,1296,216,42,47,609,134,341,160
"150",70,108,237,12329,294,-160,454,17,180,225,-105,292,35,13,27,99,43,86,63
"151",175,76,237,8395,331,9,322,244,92,290,57,1421,215,46,42,590,151,463,176
"152",45,83,174,13660,262,-212,473,216,-138,216,-159,540,121,5,91,357,15,357,17
"153",90,79,189,11445,272,-146,417,238,-82,238,-82,894,254,9,105,688,30,688,30
"154",26,86,196,12163,223,-217,440,183,-137,183,-155,723,156,8,89,462,26,462,27
"155",235,46,267,4227,310,139,171,285,196,285,173,1902,411,19,89,1136,67,1136,94
"156",196,55,293,4458,283,94,188,235,154,250,131,2518,477,41,74,1302,129,1266,168
"157",41,47,304,3718,119,-37,156,80,-7,89,-10,2711,366,122,37,1038,378,852,450
"158",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"159",72,47,291,3940,154,-9,163,113,20,124,19,2308,298,109,36,845,341,707,404
"160",41,47,304,3718,119,-37,156,80,-7,89,-10,2711,366,122,37,1038,378,852,450
"161",118,48,330,3238,182,38,144,157,87,157,71,2639,565,38,85,1589,132,1589,132
"162",66,48,299,3861,146,-15,162,106,15,116,13,2538,341,94,42,1006,296,902,365
"163",66,48,299,3861,146,-15,162,106,15,116,13,2538,341,94,42,1006,296,902,365
"164",65,52,354,3195,133,-14,147,105,36,105,21,3049,571,64,71,1589,204,1589,230
"165",65,52,354,3195,133,-14,147,105,36,105,21,3049,571,64,71,1589,204,1589,230
"166",68,46,285,4002,150,-13,163,104,16,121,14,2519,326,107,34,925,341,808,461
"167",68,46,285,4002,150,-13,163,104,16,121,14,2519,326,107,34,925,341,808,461
"168",65,47,286,3982,146,-16,162,101,13,117,11,2445,342,97,38,951,313,850,426
"169",95,55,341,3552,169,9,161,131,62,139,45,2659,398,74,55,1146,231,1112,270
"170",49,54,355,3304,121,-31,152,91,19,91,4,3017,510,71,63,1416,230,1416,325
"171",83,55,347,3489,157,-2,159,127,51,127,35,3215,586,72,70,1633,220,1633,266
"172",183,56,202,7540,316,39,277,287,115,287,80,1512,266,36,57,701,134,701,134
"173",180,67,225,7810,324,27,297,287,107,287,72,1451,229,40,51,608,143,608,148
"174",183,56,202,7540,316,39,277,287,115,287,80,1512,266,36,57,701,134,701,134
"175",183,56,202,7540,316,39,277,287,115,287,80,1512,266,36,57,701,134,701,134
"176",183,56,202,7540,316,39,277,287,115,287,80,1512,266,36,57,701,134,701,134
"177",206,39,211,4990,296,110,185,248,163,270,135,2174,261,101,28,741,325,569,487
"178",183,56,202,7540,316,39,277,287,115,287,80,1512,266,36,57,701,134,701,134
"179",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"180",67,47,287,3985,148,-15,163,102,15,119,13,2330,316,94,37,888,300,783,401
"181",155,41,242,4390,239,68,171,177,136,212,94,4059,630,199,40,1825,611,868,828
"182",68,50,311,3739,147,-13,160,107,18,116,17,2633,378,85,47,1098,281,953,352
"183",40,55,362,3269,112,-40,152,81,11,81,-4,3173,540,73,64,1492,227,1492,356
"184",99,55,341,3574,174,12,162,144,66,144,49,3289,638,62,78,1779,188,1779,230
"185",99,55,341,3574,174,12,162,144,66,144,49,3289,638,62,78,1779,188,1779,230
"186",81,55,348,3482,154,-5,159,124,49,124,32,3269,598,72,70,1654,220,1654,268
