"","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",55,49,300,3886,135,-26,162,90,4,106,2,2263,349,69,51,976,227,936,317
"2",45,48,303,3822,124,-35,159,79,-5,95,-7,2288,357,75,49,978,247,929,340
"3",53,48,300,3874,133,-28,161,88,3,104,0,2332,358,76,49,989,248,946,342
"4",53,48,300,3874,133,-28,161,88,3,104,0,2332,358,76,49,989,248,946,342
"5",53,48,300,3874,133,-28,161,88,3,104,0,2332,358,76,49,989,248,946,342
"6",45,48,303,3822,124,-35,159,79,-5,95,-7,2288,357,75,49,978,247,929,340
"7",90,66,366,3820,183,2,181,82,143,143,35,620,59,39,11,173,136,136,136
"8",41,55,363,3252,112,-39,151,82,12,82,-3,3300,594,69,70,1656,215,1656,335
"9",44,55,361,3272,115,-37,152,85,15,85,-1,3205,575,69,69,1597,214,1597,332
"10",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"11",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"12",67,52,314,3836,148,-16,164,107,16,117,15,2548,363,84,44,1047,282,886,377
"13",67,52,314,3836,148,-16,164,107,16,117,15,2548,363,84,44,1047,282,886,377
"14",67,52,314,3836,148,-16,164,107,16,117,15,2548,363,84,44,1047,282,886,377
"15",65,52,352,3197,133,-14,147,105,36,105,20,3022,567,59,73,1591,193,1591,209
"16",30,48,308,3730,109,-48,156,64,-18,79,-20,2585,365,93,42,1026,303,956,415
"17",67,52,314,3836,148,-16,164,107,16,117,15,2548,363,84,44,1047,282,886,377
"18",124,43,144,8789,270,-28,298,248,5,248,4,1291,273,35,72,767,106,767,111
"19",44,55,361,3272,115,-37,152,85,15,85,-1,3205,575,69,69,1597,214,1597,332
"20",50,51,320,3690,129,-31,159,88,1,97,0,2577,374,86,44,1071,288,895,373
"21",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"22",57,47,296,3840,137,-22,159,77,7,107,5,2636,371,132,35,1039,408,708,482
"23",44,48,303,3814,123,-36,159,78,-6,93,-8,2411,350,87,43,970,285,912,389
"24",34,88,309,6820,149,-136,285,122,-29,122,-62,710,168,7,91,480,25,480,70
"25",44,55,361,3272,115,-37,152,85,15,85,-1,3205,575,69,69,1597,214,1597,332
"26",76,53,227,6289,204,-32,235,55,8,166,-6,675,72,41,17,207,131,180,139
"27",57,52,319,3769,138,-25,163,96,7,106,6,2654,379,80,48,1072,268,1020,362
"28",44,55,361,3272,115,-37,152,85,15,85,-1,3205,575,69,69,1597,214,1597,332
"29",41,55,363,3252,112,-39,151,82,12,82,-3,3300,594,69,70,1656,215,1656,335
"30",44,55,361,3272,115,-37,152,85,15,85,-1,3205,575,69,69,1597,214,1597,332
"31",44,55,361,3272,115,-37,152,85,15,85,-1,3205,575,69,69,1597,214,1597,332
"32",44,55,361,3272,115,-37,152,85,15,85,-1,3205,575,69,69,1597,214,1597,332
"33",44,55,361,3272,115,-37,152,85,15,85,-1,3205,575,69,69,1597,214,1597,332
"34",47,47,300,3763,126,-31,157,66,-2,96,-4,2743,387,133,35,1075,411,769,485
"35",47,47,300,3763,126,-31,157,66,-2,96,-4,2743,387,133,35,1075,411,769,485
"36",41,47,304,3718,119,-37,156,80,-7,89,-10,2711,366,122,37,1038,378,852,450
"37",57,52,319,3769,138,-25,163,96,7,106,6,2654,379,80,48,1072,268,1020,362
"38",44,48,303,3814,123,-36,159,78,-6,93,-8,2411,350,87,43,970,285,912,389
"39",53,49,304,3859,133,-28,162,88,3,103,0,2390,375,72,51,1039,236,976,336
"40",70,48,192,6842,205,-43,248,169,-3,169,-18,527,61,28,25,179,85,179,96
"41",92,72,277,6708,232,-27,260,180,4,185,4,737,83,46,17,245,147,213,176
"42",82,47,208,6189,202,-22,224,170,1,170,1,676,75,32,24,225,114,225,114
"43",70,60,226,6953,215,-49,265,168,-3,168,-20,584,69,31,25,199,94,199,105
"44",73,63,253,6432,210,-41,250,51,4,164,-11,698,76,38,21,213,132,202,134
"45",166,88,305,7177,306,17,289,109,186,260,65,1235,137,76,15,390,243,310,338
"46",57,52,355,3163,124,-21,146,96,28,96,13,3139,562,70,67,1572,227,1572,248
"47",65,52,352,3197,133,-14,147,105,36,105,20,3022,567,59,73,1591,193,1591,209
"48",82,51,345,3276,150,1,149,122,52,122,36,2912,569,51,77,1603,167,1603,181
"49",78,84,370,5132,174,-53,228,138,5,142,5,1276,328,4,111,954,12,858,12
"50",77,49,217,6184,200,-27,227,59,-4,166,-4,729,81,36,21,232,133,204,133
"51",73,16,86,6097,176,-13,190,59,70,168,-2,549,62,28,27,179,90,158,116
"52",95,134,352,8434,297,-85,382,114,-5,215,-15,435,70,14,47,188,44,152,44
"53",95,134,352,8434,297,-85,382,114,-5,215,-15,435,70,14,47,188,44,152,44
"54",42,47,303,3727,121,-35,156,61,-6,91,-8,2829,397,135,36,1101,415,823,490
"55",53,48,300,3874,133,-28,161,88,3,104,0,2332,358,76,49,989,248,946,342
"56",60,65,246,6703,204,-57,262,153,-12,154,-27,580,69,30,24,191,98,189,101
"57",92,52,312,4042,187,20,167,108,71,151,42,675,68,42,15,200,135,180,185
"58",96,56,339,3640,172,8,164,141,62,141,45,3208,532,74,63,1478,228,1478,272
"59",68,84,370,5125,165,-62,227,128,-5,132,-5,1378,356,4,109,1000,12,940,12
"60",77,25,122,6217,187,-14,202,144,9,171,0,491,54,28,22,159,85,151,95
"61",38,68,318,5346,131,-83,215,105,-19,105,-35,1750,234,27,46,676,99,676,139
"62",82,72,333,5092,168,-50,218,144,9,145,9,5459,1348,21,103,3698,67,3670,67
"63",29,72,331,5216,116,-103,219,93,-44,94,-44,5022,1244,24,102,3400,78,3366,78
"64",38,72,331,5202,125,-94,219,102,-35,103,-35,4566,1110,24,100,3040,78,3008,78
"65",82,72,333,5092,168,-50,218,144,9,145,9,5459,1348,21,103,3698,67,3670,67
"66",22,73,330,5230,109,-110,219,87,-51,87,-51,4883,1208,23,102,3306,75,3266,75
"67",75,72,277,6692,215,-46,261,163,56,167,-13,1112,117,71,16,343,226,311,254
"68",95,69,274,6565,233,-20,253,181,9,186,9,496,62,27,28,178,82,168,82
"69",66,47,291,3962,148,-15,163,108,14,118,12,2753,350,112,37,1030,352,945,456
"70",27,75,318,5671,131,-104,235,97,-51,100,-51,590,182,2,128,541,6,424,6
"71",65,52,352,3197,133,-14,147,105,36,105,20,3022,567,59,73,1591,193,1591,209
"72",41,47,304,3718,119,-37,156,80,-7,89,-10,2711,366,122,37,1038,378,852,450
"73",79,51,219,6326,208,-27,235,165,11,170,-2,585,65,33,21,177,107,173,115
"74",75,54,228,6353,206,-33,239,54,7,166,-7,647,71,37,20,195,119,189,128
"75",49,89,321,6575,158,-118,276,134,-13,134,-42,697,151,9,83,441,33,441,67
"76",55,51,317,3777,135,-27,162,94,5,104,4,2541,355,82,46,1016,274,933,366
"77",53,95,348,6435,164,-110,274,135,-9,135,-36,2120,553,10,107,1653,62,1653,136
"78",47,47,300,3763,126,-31,157,66,-2,96,-4,2743,387,133,35,1075,411,769,485
"79",47,47,300,3763,126,-31,157,66,-2,96,-4,2743,387,133,35,1075,411,769,485
"80",79,46,205,6199,199,-24,223,168,48,168,-2,766,94,40,26,272,127,272,136
"81",57,52,319,3769,138,-25,163,96,7,106,6,2654,379,80,48,1072,268,1020,362
"82",57,52,319,3769,138,-25,163,96,7,106,6,2654,379,80,48,1072,268,1020,362
"83",80,42,191,6234,199,-23,221,101,48,168,-2,752,80,38,24,240,131,232,134
"84",44,48,303,3814,123,-36,159,78,-6,93,-8,2411,350,87,43,970,285,912,389
"85",44,48,303,3814,123,-36,159,78,-6,93,-8,2411,350,87,43,970,285,912,389
"86",98,71,295,5968,230,-11,241,20,120,182,20,763,85,49,17,251,153,175,191
"87",102,71,294,6038,235,-8,243,23,83,187,23,716,77,46,15,221,145,164,176
"88",95,71,296,5963,227,-14,241,17,116,179,17,807,90,51,18,266,161,181,204
"89",94,71,296,5960,226,-14,241,16,116,178,16,854,97,54,18,285,170,190,216
"90",80,45,203,6195,200,-23,222,168,48,168,-1,778,97,40,27,280,128,280,137
"91",105,29,188,4266,187,35,152,99,58,168,49,625,69,41,17,199,125,173,134
"92",69,68,294,5760,170,-60,230,140,-12,141,-12,616,131,6,75,367,24,333,24
"93",75,75,333,5461,172,-53,225,141,-1,143,-1,503,120,4,93,356,16,304,16
"94",69,68,294,5760,170,-60,230,140,-12,141,-12,616,131,6,75,367,24,333,24
"95",81,47,209,6186,202,-23,224,169,0,169,0,681,76,32,24,224,115,224,115
"96",81,47,209,6186,202,-23,224,169,0,169,0,681,76,32,24,224,115,224,115
"97",79,46,205,6199,199,-24,223,168,48,168,-2,766,94,40,26,272,127,272,136
"98",83,38,180,6075,196,-15,211,147,4,171,4,596,60,29,20,178,106,175,106
"99",61,72,339,5063,150,-63,213,123,5,123,-10,2303,300,33,49,898,114,898,175
"100",16,68,298,5700,117,-110,227,87,-62,89,-62,905,187,10,72,519,38,479,38
"101",34,68,297,5721,136,-93,228,106,-44,107,-44,877,181,10,71,501,38,463,38
"102",27,75,318,5671,131,-104,235,97,-51,100,-51,590,182,2,128,541,6,424,6
"103",27,68,304,5599,123,-103,225,97,-49,99,-49,855,167,10,76,470,32,465,32
"104",103,62,336,4270,207,21,186,63,161,166,49,976,102,66,16,303,201,232,238
"105",94,53,323,3968,187,22,165,45,101,152,45,1207,133,64,25,392,198,274,392
"106",77,49,217,6180,199,-28,227,59,-4,166,-4,742,82,37,21,236,136,208,136
"107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",77,49,217,6180,199,-28,227,59,-4,166,-4,742,82,37,21,236,136,208,136
"110",77,46,205,6187,198,-26,223,58,10,166,-4,611,68,38,17,194,120,160,128
"111",60,72,339,5059,150,-63,213,123,5,123,-10,2279,294,34,49,880,116,880,178
"112",69,62,249,6438,206,-44,250,157,1,160,-15,703,78,39,20,212,131,206,136
"113",77,35,161,6311,196,-20,216,171,9,171,-2,541,60,31,19,168,96,168,108
"114",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"115",76,73,268,7199,221,-53,274,170,9,172,-21,782,108,40,39,322,122,301,135
"116",-18,95,322,7275,108,-186,294,79,-46,79,-115,1580,357,13,85,1057,78,1057,280
"117",25,95,318,7306,152,-146,298,122,-1,122,-74,855,198,10,86,582,48,582,152
"118",78,50,218,6189,201,-27,228,60,-3,167,-3,689,76,35,21,218,127,192,127
"119",43,47,302,3724,121,-35,156,62,-6,91,-8,2869,401,135,36,1117,417,850,491
"120",53,48,300,3874,133,-28,161,88,3,104,0,2332,358,76,49,989,248,946,342
"121",53,48,300,3874,133,-28,161,88,3,104,0,2332,358,76,49,989,248,946,342
"122",52,47,295,3879,132,-28,160,93,2,103,-1,2583,329,107,35,976,339,867,450
"123",62,67,313,5331,153,-62,215,128,4,128,-12,2342,318,35,49,953,124,836,177
"124",9,86,317,6477,119,-151,271,93,-52,93,-80,1447,354,14,99,1044,52,1044,97
"125",59,89,323,6222,179,-97,276,140,-20,140,-28,218,65,0,131,193,0,193,0
"126",86,73,266,7201,231,-43,274,179,-10,182,-11,705,96,37,35,280,115,264,129
"127",27,86,318,6431,136,-133,269,110,-34,110,-62,1111,273,12,99,805,44,805,73
"128",27,86,318,6431,136,-133,269,110,-34,110,-62,1111,273,12,99,805,44,805,73
"129",44,100,311,7210,191,-130,320,139,-62,139,-62,403,78,1,83,222,5,222,5
"130",88,47,282,4039,170,5,165,108,34,141,33,2811,428,154,37,1196,468,652,547
"131",-21,91,308,7106,104,-191,295,73,-85,73,-119,793,189,9,94,565,35,565,70
"132",-21,91,308,7106,104,-191,295,73,-85,73,-119,793,189,9,94,565,35,565,70
"133",104,62,335,4257,208,23,185,64,161,166,50,797,84,54,15,247,164,186,195
"134",103,62,335,4260,207,21,185,63,160,165,49,834,88,56,15,259,171,194,204
"135",106,62,335,4273,210,24,186,66,163,168,52,805,86,53,17,253,162,189,198
"136",105,62,335,4273,209,23,186,65,162,167,51,826,87,55,16,256,169,193,203
