"","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",49,48,303,3843,129,-31,160,83,-1,99,-3,2221,360,68,52,986,224,921,312
"2",106,45,270,4163,189,22,168,127,86,160,49,3231,456,181,34,1326,547,832,620
"3",108,48,279,4203,192,21,172,151,51,162,50,2912,393,132,33,1099,414,870,521
"4",83,47,285,4067,166,-1,167,119,29,136,27,2659,356,100,41,1008,314,968,409
"5",67,52,313,3860,149,-16,165,102,16,117,14,2378,367,76,49,977,256,941,346
"6",67,52,314,3836,148,-16,164,107,16,117,15,2548,363,84,44,1047,282,886,377
"7",67,52,314,3836,148,-16,164,107,16,117,15,2548,363,84,44,1047,282,886,377
"8",65,51,313,3836,147,-17,164,105,14,115,13,2570,355,83,45,1045,277,927,371
"9",55,51,317,3777,135,-27,162,94,5,104,4,2541,355,82,46,1016,274,933,366
"10",67,52,314,3831,148,-16,164,107,16,117,15,2617,365,84,45,1068,282,939,377
"11",65,47,294,3888,146,-15,161,85,14,116,12,2443,322,116,35,906,360,733,426
"12",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"13",92,50,293,4083,174,5,169,128,57,144,35,2205,436,44,74,1164,139,1115,245
"14",73,48,292,3997,156,-10,165,115,21,125,19,2805,362,108,39,1060,342,980,453
"15",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"16",65,51,313,3836,147,-17,164,105,14,115,13,2570,355,83,45,1045,277,927,371
"17",67,52,314,3831,148,-16,164,107,16,117,15,2617,365,84,45,1068,282,939,377
"18",69,51,347,3214,137,-9,146,109,40,109,25,3169,513,80,61,1452,265,1452,276
"19",57,52,319,3769,138,-25,163,96,7,106,6,2654,379,80,48,1072,268,1020,362
"20",77,48,287,4029,160,-6,165,113,24,130,22,2585,346,96,42,986,302,955,395
"21",90,48,286,4099,173,5,168,132,35,143,33,2826,358,111,38,1070,351,980,462
"22",67,52,314,3831,148,-16,164,107,16,117,15,2617,365,84,45,1068,282,939,377
"23",72,51,311,3871,153,-12,165,112,20,121,19,2522,359,83,44,1036,277,876,373
"24",57,52,355,3163,124,-21,146,96,28,96,13,3139,562,70,67,1572,227,1572,248
"25",55,51,317,3777,135,-27,162,94,5,104,4,2541,355,82,46,1016,274,933,366
"26",72,51,311,3871,153,-12,165,112,20,121,19,2522,359,83,44,1036,277,876,373
"27",99,56,341,3592,174,11,163,144,66,144,48,3239,573,70,67,1587,213,1587,264
"28",43,55,362,3254,114,-37,151,84,14,84,-2,3336,599,69,70,1673,215,1673,337
"29",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"30",67,52,314,3831,148,-16,164,107,16,117,15,2617,365,84,45,1068,282,939,377
"31",67,52,314,3831,148,-16,164,107,16,117,15,2617,365,84,45,1068,282,939,377
"32",65,51,313,3836,147,-17,164,105,14,115,13,2570,355,83,45,1045,277,927,371
"33",57,52,319,3769,138,-25,163,96,7,106,6,2654,379,80,48,1072,268,1020,362
"34",65,51,313,3836,147,-17,164,105,14,115,13,2570,355,83,45,1045,277,927,371
"35",63,47,291,3941,144,-18,162,104,12,115,9,2801,358,114,37,1049,356,960,461
"36",47,47,300,3763,126,-31,157,66,-2,96,-4,2743,387,133,35,1075,411,769,485
"37",47,47,300,3763,126,-31,157,66,-2,96,-4,2743,387,133,35,1075,411,769,485
"38",42,47,303,3727,121,-35,156,61,-6,91,-8,2829,397,135,36,1101,415,823,490
"39",72,47,291,3940,154,-9,163,113,20,124,19,2308,298,109,36,845,341,707,404
"40",47,47,300,3763,126,-31,157,66,-2,96,-4,2743,387,133,35,1075,411,769,485
