"","decimalLongitude","decimalLatitude","key","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",172.591918,-43.486041,"2573943527",123,51,351,3174,199,53,146,83,168,168,79,684,75,44,16,219,143,143,209
"2",121.52149,24.515965,"2579224785",137,44,255,4364,223,50,173,159,118,194,77,3351,506,179,38,1490,562,685,720
"3",121.208778,24.373103,"2579266979",55,49,300,3886,135,-26,162,90,4,106,2,2263,349,69,51,976,227,936,317
"4",121.352738,24.390785,"2579331248",118,48,276,4263,203,30,174,139,60,173,59,2635,374,135,32,1032,423,664,524
"5",120.913901,23.27803,"2580264035",118,53,336,3499,189,32,157,154,85,161,68,2679,433,72,58,1207,228,1182,262
"6",120.913352,23.277929,"2596078272",118,53,336,3499,189,32,157,154,85,161,68,2679,433,72,58,1207,228,1182,262
"7",121.352452,24.389976,"2611259367",118,48,276,4263,203,30,174,139,60,173,59,2635,374,135,32,1032,423,664,524
"8",-122.352254,47.673193,"2619926674",114,86,360,5338,259,20,238,53,193,193,45,1104,174,24,53,506,88,88,488
"9",121.287728,24.173858,"2012980265",65,51,313,3836,147,-17,164,105,14,115,13,2570,355,83,45,1045,277,927,371
"10",121.416792,24.379992,"2237424265",65,47,294,3888,146,-15,161,85,14,116,12,2443,322,116,35,906,360,733,426
"11",121.027021,24.282897,"2269212555",92,50,293,4083,174,5,169,128,57,144,35,2205,436,44,74,1164,139,1115,245
"12",174.720835,-36.878465,"2251861727",154,23,217,2753,210,105,105,120,195,195,118,1277,145,73,21,429,235,235,401
"13",120.905892,23.473747,"2251895526",105,55,340,3602,180,17,163,149,71,149,54,3198,630,59,79,1749,180,1749,221
"14",121.031035,24.283415,"2251899837",88,49,293,4063,170,2,168,124,53,140,32,2184,429,48,71,1134,150,1086,263
"15",120.90731,23.473139,"2251920851",105,55,340,3602,180,17,163,149,71,149,54,3198,630,59,79,1749,180,1749,221
"16",120.907489,23.472809,"2269259318",105,55,340,3602,180,17,163,149,71,149,54,3198,630,59,79,1749,180,1749,221
"17",120.907249,23.47317,"2429206997",105,55,340,3602,180,17,163,149,71,149,54,3198,630,59,79,1749,180,1749,221
"18",121.30354,24.692665,"2597730501",132,41,240,4473,217,45,172,179,72,190,70,3456,420,180,27,1205,544,1002,682
"19",120.885637,23.482515,"2252015266",93,55,344,3546,167,6,161,136,60,136,43,3431,616,72,70,1727,218,1727,270
"20",121.650245,24.200713,"2252072347",176,43,250,4346,260,88,172,197,115,232,115,3054,470,133,43,1350,415,863,415
"21",121.026335,24.280902,"2269247155",92,50,293,4083,174,5,169,128,57,144,35,2205,436,44,74,1164,139,1115,245
"22",121.352565,24.390063,"2273256970",118,48,276,4263,203,30,174,139,60,173,59,2635,374,135,32,1032,423,664,524
"23",121.52835,24.502792,"2273273159",125,44,259,4277,210,40,170,147,106,181,66,3451,509,182,36,1498,560,789,708
"24",121.27102,24.133185,"2283149286",64,52,317,3807,145,-19,164,99,13,113,12,2501,389,68,54,1066,228,1037,312
"25",121.288101,24.137071,"2283150486",63,52,316,3803,144,-19,164,103,13,113,12,2667,369,83,47,1083,279,989,374
"26",121.284373,24.145522,"2283150928",67,52,314,3831,148,-16,164,107,16,117,15,2617,365,84,45,1068,282,939,377
"27",120.885599,23.48798,"2283165892",99,56,341,3592,174,11,163,144,66,144,48,3239,573,70,67,1587,213,1587,264
"28",121.026625,24.28113,"2283269658",92,50,293,4083,174,5,169,128,57,144,35,2205,436,44,74,1164,139,1115,245
"29",120.917886,23.473907,"2311346614",83,55,347,3485,156,-2,159,126,51,126,34,3125,606,61,77,1687,187,1687,227
"30",121.285682,24.385626,"2350338290",90,48,286,4099,173,5,168,132,35,143,33,2826,358,111,38,1070,351,980,462
"31",120.985619,23.276492,"2465235784",57,52,355,3163,124,-21,146,96,28,96,13,3139,562,70,67,1572,227,1572,248
"32",-122.924318,49.280616,"2331852059",93,69,311,5352,225,3,222,32,172,172,24,2322,356,69,51,1042,217,217,980
"33",121.286667,24.161388,"2331855349",72,51,311,3871,153,-12,165,112,20,121,19,2522,359,83,44,1036,277,876,373
"34",120.873784,23.468676,"2331875402",91,55,345,3536,165,5,161,135,59,135,42,3523,642,73,71,1797,220,1797,275
"35",121.286843,24.161214,"2366059351",72,51,311,3871,153,-12,165,112,20,121,19,2522,359,83,44,1036,277,876,373
"36",121.12389,24.478696,"2366133017",119,45,263,4340,203,31,172,157,82,175,59,2423,388,82,47,1061,267,933,402
"37",121.600073,24.518083,"2397585439",127,42,253,4249,211,43,167,149,108,183,69,4010,587,205,37,1733,617,947,778
"38",121.609403,24.512934,"2397586384",125,42,253,4224,208,42,167,146,106,181,67,4072,593,205,37,1748,615,988,777
"39",121.609401,24.512932,"2397588392",125,42,253,4224,208,42,167,146,106,181,67,4072,593,205,37,1748,615,988,777
"40",-122.885391,38.508324,"2422871115",151,89,428,4042,268,58,209,95,202,206,95,1021,245,1,97,697,9,9,697
