"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",120.78,22.71,1085983455,102,108,125,148,170,184,190,188,180,163,139,112,"Euphrasia transmorrisonensis",28,120.9
"2",120.883333,22.733333,1821882141,81,88,103,125,147,161,167,165,156,140,117,91,"Euphrasia transmorrisonensis",28,94.1
"3",120.666004,23.010871,1303813308,163,173,196,225,248,263,271,267,259,239,211,176,"Euphrasia transmorrisonensis",28,209.1
"4",120.908611,23.231667,891589995,5,10,23,44,69,85,91,89,80,62,39,14,"Euphrasia transmorrisonensis",28,17.6
"5",120.905556,23.247222,891594008,43,50,66,89,114,131,137,135,125,106,82,54,"Euphrasia transmorrisonensis",28,53.9
"6",120.9,23.25,1821888843,42,49,65,88,113,130,136,134,124,105,81,53,"Euphrasia transmorrisonensis",28,52.9
"7",120.91,23.25,1085978170,35,41,56,79,104,121,127,125,115,96,72,45,"Euphrasia transmorrisonensis",28,44.5
"8",120.966667,23.25,1821866214,69,76,94,119,143,160,167,164,155,135,110,80,"Euphrasia transmorrisonensis",28,87.2
"9",120.9275,23.26,1821849910,64,71,88,113,138,155,161,159,149,130,104,75,"Euphrasia transmorrisonensis",28,80.7
"10",120.98,23.26,1085993599,41,47,63,86,111,128,134,132,122,103,79,52,"Euphrasia transmorrisonensis",28,51
"11",121.116667,23.266667,1821864344,101,108,128,154,178,195,202,200,189,169,143,112,"Euphrasia transmorrisonensis",28,127.9
"12",121.116667,23.266667,1821873398,101,108,128,154,178,195,202,200,189,169,143,112,"Euphrasia transmorrisonensis",28,127.9
"13",121.116667,23.266667,1821873974,101,108,128,154,178,195,202,200,189,169,143,112,"Euphrasia transmorrisonensis",28,127.9
"14",120.95,23.27,1085987575,37,43,59,82,107,124,130,128,118,99,75,47,"Euphrasia transmorrisonensis",28,47.2
"15",120.915865,23.277143,1883944716,64,71,89,114,139,156,162,160,150,130,105,75,"Euphrasia transmorrisonensis",28,81.5
"16",120.985741,23.27722,2529375171,10,15,29,50,75,92,98,96,86,68,45,20,"Euphrasia transmorrisonensis",28,21.5
"17",120.913056,23.278889,891597003,64,71,89,114,139,156,162,160,150,130,105,75,"Euphrasia transmorrisonensis",28,81.5
"18",120.913056,23.279722,891608568,64,71,89,114,139,156,162,160,150,130,105,75,"Euphrasia transmorrisonensis",28,81.5
"19",120.91,23.28,1085991540,64,71,89,114,139,156,162,160,150,130,105,75,"Euphrasia transmorrisonensis",28,81.5
"20",120.9,23.283333,1821840717,87,94,114,140,165,182,189,186,177,156,130,98,"Euphrasia transmorrisonensis",28,111.8
"21",120.951372,23.427732,2423227598,14,20,34,57,83,101,107,105,95,76,51,25,"Euphrasia transmorrisonensis",28,27.5
"22",120.93,23.44,1085968664,17,22,37,60,86,104,110,108,98,79,54,27,"Euphrasia transmorrisonensis",28,29.9
"23",120.93,23.44,1085970684,17,22,37,60,86,104,110,108,98,79,54,27,"Euphrasia transmorrisonensis",28,29.9
"24",120.873333,23.463056,891658445,35,41,58,83,108,126,133,131,121,100,75,46,"Euphrasia transmorrisonensis",28,48.5
"25",120.873333,23.463056,891658287,35,41,58,83,108,126,133,131,121,100,75,46,"Euphrasia transmorrisonensis",28,48.5
"26",120.927672,23.466197,1901087949,34,41,57,81,107,125,132,130,119,99,74,45,"Euphrasia transmorrisonensis",28,47.4
"27",120.92679,23.466724,2423145214,13,18,33,56,82,100,106,104,94,74,50,23,"Euphrasia transmorrisonensis",28,26.6
"28",120.960556,23.468333,891615643,-8,-3,10,32,58,76,82,80,70,51,27,2,"Euphrasia transmorrisonensis",28,11.7
"29",120.960556,23.468333,891632972,-8,-3,10,32,58,76,82,80,70,51,27,2,"Euphrasia transmorrisonensis",28,11.7
"30",120.960556,23.468333,891659354,-8,-3,10,32,58,76,82,80,70,51,27,2,"Euphrasia transmorrisonensis",28,11.7
"31",120.905556,23.468611,891632014,50,57,74,100,126,144,151,148,138,117,91,61,"Euphrasia transmorrisonensis",28,65.7
"32",120.905556,23.468611,891632018,50,57,74,100,126,144,151,148,138,117,91,61,"Euphrasia transmorrisonensis",28,65.7
"33",120.905556,23.468611,891632033,50,57,74,100,126,144,151,148,138,117,91,61,"Euphrasia transmorrisonensis",28,65.7
"34",120.905556,23.468611,891632078,50,57,74,100,126,144,151,148,138,117,91,61,"Euphrasia transmorrisonensis",28,65.7
"35",120.905556,23.468611,891632992,50,57,74,100,126,144,151,148,138,117,91,61,"Euphrasia transmorrisonensis",28,65.7
"36",120.905556,23.468611,891635428,50,57,74,100,126,144,151,148,138,117,91,61,"Euphrasia transmorrisonensis",28,65.7
"37",120.892778,23.470556,891620570,45,52,69,94,120,138,145,143,133,112,86,56,"Euphrasia transmorrisonensis",28,59.8
"38",120.91366,23.470594,2251897612,34,41,57,82,107,125,132,130,120,99,74,45,"Euphrasia transmorrisonensis",28,47.6
"39",120.907778,23.470833,891632055,50,57,74,100,126,144,151,148,138,117,91,61,"Euphrasia transmorrisonensis",28,65.7
"40",120.9,23.47,1085992589,50,57,74,100,126,144,151,148,138,117,91,61,"Euphrasia transmorrisonensis",28,65.7
"41",120.95,23.47,1085983957,-4,1,14,36,62,80,86,85,74,55,32,6,"Euphrasia transmorrisonensis",28,14.2
"42",120.95,23.47,1086037850,-4,1,14,36,62,80,86,85,74,55,32,6,"Euphrasia transmorrisonensis",28,14.2
"43",120.95,23.47,1086039166,-4,1,14,36,62,80,86,85,74,55,32,6,"Euphrasia transmorrisonensis",28,14.2
"44",120.915833,23.471389,891632170,34,41,57,82,107,125,132,130,120,99,74,45,"Euphrasia transmorrisonensis",28,47.6
"45",120.915833,23.471389,891632187,34,41,57,82,107,125,132,130,120,99,74,45,"Euphrasia transmorrisonensis",28,47.6
"46",120.915833,23.471389,891632212,34,41,57,82,107,125,132,130,120,99,74,45,"Euphrasia transmorrisonensis",28,47.6
"47",120.909016,23.47275,2251920173,34,41,57,82,107,125,132,130,120,99,74,45,"Euphrasia transmorrisonensis",28,47.6
"48",120.903889,23.472778,891611020,50,57,74,100,126,144,151,148,138,117,91,61,"Euphrasia transmorrisonensis",28,65.7
"49",120.9076,23.47332,1901059847,50,57,74,100,126,144,151,148,138,117,91,61,"Euphrasia transmorrisonensis",28,65.7
"50",120.882767,23.473454,2252016542,37,43,60,85,111,129,136,134,123,103,77,48,"Euphrasia transmorrisonensis",28,50.8
"51",120.905175,23.473575,1901059359,50,57,74,100,126,144,151,148,138,117,91,61,"Euphrasia transmorrisonensis",28,65.7
"52",120.882623,23.473665,2331875334,37,43,60,85,111,129,136,134,123,103,77,48,"Euphrasia transmorrisonensis",28,50.8
"53",120.906448,23.473845,1883466893,50,57,74,100,126,144,151,148,138,117,91,61,"Euphrasia transmorrisonensis",28,65.7
"54",120.882935,23.474007,2429303981,37,43,60,85,111,129,136,134,123,103,77,48,"Euphrasia transmorrisonensis",28,50.8
"55",120.905967,23.47402,1901059430,50,57,74,100,126,144,151,148,138,117,91,61,"Euphrasia transmorrisonensis",28,65.7
"56",120.884942,23.474422,1898847154,43,50,67,92,118,136,143,141,130,110,84,54,"Euphrasia transmorrisonensis",28,57.5
"57",120.896238,23.474563,2244238129,45,52,69,94,120,138,145,143,133,112,86,56,"Euphrasia transmorrisonensis",28,59.8
"58",120.903213,23.475447,2423023980,42,48,65,90,116,134,141,139,129,108,82,53,"Euphrasia transmorrisonensis",28,55.7
"59",120.899663,23.475808,1890668858,41,47,64,89,115,133,140,138,127,107,81,52,"Euphrasia transmorrisonensis",28,54.6
"60",120.978889,23.475833,891620280,9,15,29,52,78,96,102,100,90,70,46,19,"Euphrasia transmorrisonensis",28,23.8
"61",120.899993,23.475835,1944369959,42,48,65,90,116,134,141,139,129,108,82,53,"Euphrasia transmorrisonensis",28,55.7
"62",120.900833,23.477778,891592666,42,48,65,90,116,134,141,139,129,108,82,53,"Euphrasia transmorrisonensis",28,55.7
"63",120.896004,23.478025,1945440589,41,47,64,89,115,133,140,138,127,107,81,52,"Euphrasia transmorrisonensis",28,54.6
"64",120.908889,23.478333,891632207,28,34,51,75,101,119,125,123,113,93,68,39,"Euphrasia transmorrisonensis",28,41.8
"65",120.888474,23.478882,2273319245,39,45,62,87,113,131,138,136,126,105,79,50,"Euphrasia transmorrisonensis",28,52.7
"66",120.888641,23.479063,1914326184,39,45,62,87,113,131,138,136,126,105,79,50,"Euphrasia transmorrisonensis",28,52.7
"67",121.028889,23.481111,891658310,16,21,36,59,85,103,109,107,97,77,53,26,"Euphrasia transmorrisonensis",28,29
"68",120.9,23.48,1085988333,42,48,65,90,116,134,141,139,129,108,82,53,"Euphrasia transmorrisonensis",28,55.7
"69",120.883333,23.483333,1821855969,45,51,69,94,120,138,145,143,133,112,86,56,"Euphrasia transmorrisonensis",28,59.7
"70",120.883333,23.483333,1821856199,45,51,69,94,120,138,145,143,133,112,86,56,"Euphrasia transmorrisonensis",28,59.7
"71",120.890327,23.485663,2242822376,45,51,69,94,120,138,145,143,133,112,86,56,"Euphrasia transmorrisonensis",28,59.7
"72",120.889359,23.486893,2294608319,45,51,69,94,120,138,145,143,133,112,86,56,"Euphrasia transmorrisonensis",28,59.7
"73",120.890089,23.487292,2460055656,45,51,69,94,120,138,145,143,133,112,86,56,"Euphrasia transmorrisonensis",28,59.7
"74",120.895771,23.499099,2429589767,46,52,70,95,121,139,146,144,134,113,87,57,"Euphrasia transmorrisonensis",28,60.8
"75",120.815833,23.506944,891635907,55,62,80,107,133,151,158,156,146,124,98,67,"Euphrasia transmorrisonensis",28,73.7
"76",120.793889,23.514167,891658420,70,77,97,124,150,168,176,173,163,141,114,82,"Euphrasia transmorrisonensis",28,93.5
"77",120.806111,23.516667,891658477,70,77,96,124,150,168,175,173,163,141,114,81,"Euphrasia transmorrisonensis",28,93.2
"78",120.918056,23.518611,891632218,102,111,133,162,188,206,214,211,201,178,149,115,"Euphrasia transmorrisonensis",28,137
"79",120.918056,23.518611,891632223,102,111,133,162,188,206,214,211,201,178,149,115,"Euphrasia transmorrisonensis",28,137
"80",120.769167,23.5275,891648188,67,74,94,121,147,165,173,170,160,139,111,79,"Euphrasia transmorrisonensis",28,90
