"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",120.752222,22.630556,891603374,65,71,85,105,127,141,146,144,136,121,99,75,"Gentiana davidii var. formosana",33,71.5
"2",120.752222,22.630556,891603539,65,71,85,105,127,141,146,144,136,121,99,75,"Gentiana davidii var. formosana",33,71.5
"3",120.752222,22.630556,891605508,65,71,85,105,127,141,146,144,136,121,99,75,"Gentiana davidii var. formosana",33,71.5
"4",120.752222,22.630556,891605548,65,71,85,105,127,141,146,144,136,121,99,75,"Gentiana davidii var. formosana",33,71.5
"5",120.752222,22.630556,891605626,65,71,85,105,127,141,146,144,136,121,99,75,"Gentiana davidii var. formosana",33,71.5
"6",120.883333,22.733333,1821894037,81,88,103,125,147,161,167,165,156,140,117,91,"Gentiana davidii var. formosana",33,94.1
"7",120.883333,22.733333,1821894410,81,88,103,125,147,161,167,165,156,140,117,91,"Gentiana davidii var. formosana",33,94.1
"8",120.898173,22.745178,1086072517,81,87,103,124,147,161,166,164,156,140,117,91,"Gentiana davidii var. formosana",33,93.7
"9",120.891375,22.74707,1086072554,87,93,109,131,153,168,173,171,163,146,124,97,"Gentiana davidii var. formosana",33,101.5
"10",120.81,22.97,1086027796,71,78,94,118,141,156,162,160,151,134,109,81,"Gentiana davidii var. formosana",33,85.5
"11",120.841667,23.039722,891662519,56,62,78,101,125,141,146,144,136,118,94,66,"Gentiana davidii var. formosana",33,66.7
"12",120.8,23.1,1821812387,80,87,105,130,154,170,176,174,165,146,120,91,"Gentiana davidii var. formosana",33,99.8
"13",120.805266,23.151844,622286651,88,95,114,140,164,180,187,185,176,156,130,99,"Gentiana davidii var. formosana",33,111.4
"14",120.868129,23.160998,622286652,41,47,63,85,110,126,132,130,121,102,78,51,"Gentiana davidii var. formosana",33,49.8
"15",120.907778,23.231111,891617132,18,23,37,59,84,101,106,105,95,77,53,27,"Gentiana davidii var. formosana",33,28
"16",120.937778,23.249167,1821882039,23,28,43,65,90,107,112,111,101,83,59,33,"Gentiana davidii var. formosana",33,32.8
"17",120.93,23.26,1085978752,64,71,88,113,138,155,161,159,149,130,104,75,"Gentiana davidii var. formosana",33,80.7
"18",121.020032,23.26132,2283065780,41,47,63,85,110,127,133,131,121,102,78,51,"Gentiana davidii var. formosana",33,50.1
"19",120.931389,23.262222,1821903741,64,71,88,113,138,155,161,159,149,130,104,75,"Gentiana davidii var. formosana",33,80.7
"20",121.116667,23.266667,1821873909,101,108,128,154,178,195,202,200,189,169,143,112,"Gentiana davidii var. formosana",33,127.9
"21",120.95,23.27,1085984164,37,43,59,82,107,124,130,128,118,99,75,47,"Gentiana davidii var. formosana",33,47.2
"22",120.95,23.275,1821776957,35,40,56,79,104,121,127,125,115,96,72,45,"Gentiana davidii var. formosana",33,44.5
"23",120.992066,23.282277,2529392263,17,23,37,59,83,101,106,104,95,76,53,27,"Gentiana davidii var. formosana",33,27.7
"24",120.772853,23.44186,2294506027,116,125,147,177,202,220,228,225,215,193,164,128,"Gentiana davidii var. formosana",33,154
"25",120.919722,23.460833,891632365,56,63,81,106,132,150,157,155,145,124,98,67,"Gentiana davidii var. formosana",33,73.4
"26",120.919722,23.460833,891634095,56,63,81,106,132,150,157,155,145,124,98,67,"Gentiana davidii var. formosana",33,73.4
"27",120.95,23.46,1085975358,-6,-2,11,33,59,77,83,81,71,52,29,3,"Gentiana davidii var. formosana",33,12.3
"28",120.941667,23.465278,891632281,7,12,27,50,75,93,99,98,88,68,44,17,"Gentiana davidii var. formosana",33,22.1
"29",120.941667,23.465278,891632282,7,12,27,50,75,93,99,98,88,68,44,17,"Gentiana davidii var. formosana",33,22.1
"30",120.941667,23.465278,891662487,7,12,27,50,75,93,99,98,88,68,44,17,"Gentiana davidii var. formosana",33,22.1
"31",120.937778,23.4675,891621547,9,14,29,52,78,96,102,100,90,70,46,19,"Gentiana davidii var. formosana",33,23.8
"32",120.926437,23.467853,1901088125,13,18,33,56,82,100,106,104,94,74,50,23,"Gentiana davidii var. formosana",33,26.6
"33",120.960556,23.468333,891649664,-8,-3,10,32,58,76,82,80,70,51,27,2,"Gentiana davidii var. formosana",33,11.7
"34",120.960556,23.468333,891662511,-8,-3,10,32,58,76,82,80,70,51,27,2,"Gentiana davidii var. formosana",33,11.7
"35",120.960556,23.468333,891662451,-8,-3,10,32,58,76,82,80,70,51,27,2,"Gentiana davidii var. formosana",33,11.7
"36",120.905556,23.468611,891662506,50,57,74,100,126,144,151,148,138,117,91,61,"Gentiana davidii var. formosana",33,65.7
"37",120.905556,23.468611,891662508,50,57,74,100,126,144,151,148,138,117,91,61,"Gentiana davidii var. formosana",33,65.7
"38",120.959437,23.469804,2429251701,-8,-3,10,32,58,76,82,80,70,51,27,2,"Gentiana davidii var. formosana",33,11.7
"39",120.892778,23.470556,891662446,45,52,69,94,120,138,145,143,133,112,86,56,"Gentiana davidii var. formosana",33,59.8
"40",120.907778,23.470833,891632309,50,57,74,100,126,144,151,148,138,117,91,61,"Gentiana davidii var. formosana",33,65.7
"41",120.907778,23.470833,891632337,50,57,74,100,126,144,151,148,138,117,91,61,"Gentiana davidii var. formosana",33,65.7
"42",120.913563,23.470841,2251896095,34,41,57,82,107,125,132,130,120,99,74,45,"Gentiana davidii var. formosana",33,47.6
"43",120.95,23.47,1085969876,-4,1,14,36,62,80,86,85,74,55,32,6,"Gentiana davidii var. formosana",33,14.2
"44",120.95,23.47,1086039851,-4,1,14,36,62,80,86,85,74,55,32,6,"Gentiana davidii var. formosana",33,14.2
"45",120.95,23.47,1086040214,-4,1,14,36,62,80,86,85,74,55,32,6,"Gentiana davidii var. formosana",33,14.2
"46",120.910592,23.471962,1901059742,34,41,57,82,107,125,132,130,120,99,74,45,"Gentiana davidii var. formosana",33,47.6
"47",120.909002,23.472883,1880600266,34,41,57,82,107,125,132,130,120,99,74,45,"Gentiana davidii var. formosana",33,47.6
"48",120.894464,23.473057,2311391565,45,52,69,94,120,138,145,143,133,112,86,56,"Gentiana davidii var. formosana",33,59.8
"49",120.907846,23.473204,2251921345,50,57,74,100,126,144,151,148,138,117,91,61,"Gentiana davidii var. formosana",33,65.7
"50",121.027222,23.476389,891662483,16,21,36,59,85,103,109,107,97,77,53,26,"Gentiana davidii var. formosana",33,29
"51",120.909444,23.477778,891632273,28,34,51,75,101,119,125,123,113,93,68,39,"Gentiana davidii var. formosana",33,41.8
"52",120.890443,23.478042,622286647,39,45,62,87,113,131,138,136,126,105,79,50,"Gentiana davidii var. formosana",33,52.7
"53",120.908889,23.478333,891632235,28,34,51,75,101,119,125,123,113,93,68,39,"Gentiana davidii var. formosana",33,41.8
"54",120.908889,23.478333,891662533,28,34,51,75,101,119,125,123,113,93,68,39,"Gentiana davidii var. formosana",33,41.8
"55",120.9,23.48,1085989385,42,48,65,90,116,134,141,139,129,108,82,53,"Gentiana davidii var. formosana",33,55.7
"56",120.889526,23.483698,2273317991,45,51,69,94,120,138,145,143,133,112,86,56,"Gentiana davidii var. formosana",33,59.7
"57",120.889724,23.484416,2331930405,45,51,69,94,120,138,145,143,133,112,86,56,"Gentiana davidii var. formosana",33,59.7
