"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",120.91,23.24,1085979940,17,23,37,59,84,100,106,104,95,76,53,27,"Spiraea morrisonicola",66,27.7
"2",120.905556,23.247222,891594005,43,50,66,89,114,131,137,135,125,106,82,54,"Spiraea morrisonicola",66,53.9
"3",120.937778,23.249167,1821882040,23,28,43,65,90,107,112,111,101,83,59,33,"Spiraea morrisonicola",66,32.8
"4",120.93,23.25,1085983451,43,49,65,88,113,130,136,134,124,105,81,53,"Spiraea morrisonicola",66,52.9
"5",120.932222,23.252778,1821903886,43,49,65,88,113,130,136,134,124,105,81,53,"Spiraea morrisonicola",66,52.9
"6",120.93,23.46,1085984127,34,41,57,81,107,125,132,130,119,99,74,45,"Spiraea morrisonicola",66,47.4
"7",120.937778,23.4675,891626338,9,14,29,52,78,96,102,100,90,70,46,19,"Spiraea morrisonicola",66,23.8
"8",120.960833,23.468611,1821793819,-8,-3,10,32,58,76,82,80,70,51,27,2,"Spiraea morrisonicola",66,11.7
"9",120.960833,23.468611,1821794633,-8,-3,10,32,58,76,82,80,70,51,27,2,"Spiraea morrisonicola",66,11.7
"10",120.960833,23.468611,1821794813,-8,-3,10,32,58,76,82,80,70,51,27,2,"Spiraea morrisonicola",66,11.7
"11",120.959487,23.470805,2429251833,-8,-3,10,32,58,76,82,80,70,51,27,2,"Spiraea morrisonicola",66,11.7
"12",120.915833,23.471389,891633712,34,41,57,82,107,125,132,130,120,99,74,45,"Spiraea morrisonicola",66,47.6
"13",120.815833,23.506944,891677286,55,62,80,107,133,151,158,156,146,124,98,67,"Spiraea morrisonicola",66,73.7
"14",121.05,23.51,1086027889,30,36,52,76,102,120,127,125,114,94,69,41,"Spiraea morrisonicola",66,42.9
"15",121.09,23.52,1085975132,19,24,39,63,89,107,114,112,101,81,57,30,"Spiraea morrisonicola",66,32.4
"16",120.98,23.83,2417369147,79,86,107,137,165,185,194,191,179,155,126,92,"Spiraea morrisonicola",66,109.6
"17",121.276389,24.0575,891611411,8,12,27,53,82,103,112,109,96,73,48,20,"Spiraea morrisonicola",66,27.8
"18",121.276389,24.0575,891677322,8,12,27,53,82,103,112,109,96,73,48,20,"Spiraea morrisonicola",66,27.8
"19",121.31,24.11,1086017705,31,36,53,80,109,132,141,138,125,101,74,44,"Spiraea morrisonicola",66,50.3
"20",121.34,24.11,1085990393,4,8,22,48,76,99,107,105,92,69,43,16,"Spiraea morrisonicola",66,24.8
"21",121.33,24.12,1085978303,10,14,29,55,84,106,115,112,99,76,50,22,"Spiraea morrisonicola",66,29.7
"22",121.27,24.13,1085968129,10,14,29,55,84,106,115,112,99,76,50,21,"Spiraea morrisonicola",66,29.7
"23",121.283333,24.133333,1821886884,9,13,28,54,83,106,114,112,99,75,49,21,"Spiraea morrisonicola",66,29.3
"24",121.261944,24.134167,891597610,23,28,44,72,101,123,133,130,116,92,66,36,"Spiraea morrisonicola",66,43.3
"25",121.261944,24.134167,891626222,23,28,44,72,101,123,133,130,116,92,66,36,"Spiraea morrisonicola",66,43.3
"26",121.261944,24.134167,891626234,23,28,44,72,101,123,133,130,116,92,66,36,"Spiraea morrisonicola",66,43.3
"27",121.261944,24.134167,891626253,23,28,44,72,101,123,133,130,116,92,66,36,"Spiraea morrisonicola",66,43.3
"28",121.261944,24.134167,891638146,23,28,44,72,101,123,133,130,116,92,66,36,"Spiraea morrisonicola",66,43.3
"29",121.112218,24.135832,164286043,50,56,75,104,134,156,166,163,150,125,96,64,"Spiraea morrisonicola",66,73.9
"30",121.280833,24.136111,1821815276,3,7,22,48,77,99,108,105,92,69,43,15,"Spiraea morrisonicola",66,25
"31",121.271704,24.136131,2447832342,5,9,24,50,79,101,110,107,94,71,45,17,"Spiraea morrisonicola",66,26.2
"32",121.278153,24.136345,2311344621,3,7,22,48,77,99,108,105,92,69,43,15,"Spiraea morrisonicola",66,25
"33",121.272095,24.137011,2447832344,5,9,24,50,79,101,110,107,94,71,45,17,"Spiraea morrisonicola",66,26.2
"34",121.272218,24.139451,1931475898,5,9,24,50,79,101,110,107,94,71,45,17,"Spiraea morrisonicola",66,26.2
"35",121.27,24.14,1085966821,5,9,24,50,79,101,110,107,94,71,45,17,"Spiraea morrisonicola",66,26.2
"36",120.64,24.15,2417383598,152,160,186,222,251,273,286,283,270,243,210,169,"Spiraea morrisonicola",66,210.5
"37",120.64,24.15,2417387789,152,160,186,222,251,273,286,283,270,243,210,169,"Spiraea morrisonicola",66,210.5
"38",121.283333,24.179167,1821818762,1,5,19,45,75,97,106,103,90,67,41,13,"Spiraea morrisonicola",66,23.8
"39",121.283333,24.179167,1821822945,1,5,19,45,75,97,106,103,90,67,41,13,"Spiraea morrisonicola",66,23.8
"40",121.283333,24.179167,1821823119,1,5,19,45,75,97,106,103,90,67,41,13,"Spiraea morrisonicola",66,23.8
"41",121.412778,24.304444,891663908,11,14,29,55,85,108,118,115,101,77,51,23,"Spiraea morrisonicola",66,31
"42",121.20931,24.32931,1086101241,8,11,26,53,83,107,116,114,100,76,50,20,"Spiraea morrisonicola",66,29.9
"43",121.436208,24.346975,1086101256,-1,2,15,41,70,94,103,101,87,63,38,11,"Spiraea morrisonicola",66,21.8
"44",121.436766,24.348779,1086101307,-1,2,15,41,70,94,103,101,87,63,38,11,"Spiraea morrisonicola",66,21.8
"45",121.433333,24.35,1821906530,-6,-3,10,35,65,88,97,95,81,58,33,6,"Spiraea morrisonicola",66,18.4
"46",121.45,24.35,1821859193,-5,-2,11,36,65,89,98,96,82,59,34,7,"Spiraea morrisonicola",66,18.9
"47",121.441666,24.357975,1086101304,-4,-1,11,37,67,90,99,97,83,60,35,8,"Spiraea morrisonicola",66,19.6
"48",121.447732,24.359131,1086101267,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Spiraea morrisonicola",66,13.8
"49",121.434178,24.359911,1901060527,-11,-9,4,29,58,82,91,89,75,52,27,1,"Spiraea morrisonicola",66,14.7
"50",121.434178,24.359911,2445165470,-11,-9,4,29,58,82,91,89,75,52,27,1,"Spiraea morrisonicola",66,14.7
"51",121.455978,24.360912,1086101237,-10,-7,6,31,61,84,93,91,77,54,29,2,"Spiraea morrisonicola",66,16
"52",121.443333,24.361667,891677283,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Spiraea morrisonicola",66,13.8
"53",121.443333,24.361667,891677261,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Spiraea morrisonicola",66,13.8
"54",121.447309,24.362292,1086101262,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Spiraea morrisonicola",66,13.8
"55",121.44188,24.36276,1086101284,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Spiraea morrisonicola",66,13.8
"56",121.446846,24.365183,1086101263,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Spiraea morrisonicola",66,13.8
